id,scraping_date,property_type,municipality,price,living_area,price_per_square_meter
0000a4fb,2021-02-17,apartment,Solothurn,530000.0,84.0,6309.52
000640ca,2022-11-24,apartment,Volketswil,1573000.0,182.0,8642.86
00093b3b,2022-12-21,house,Meisterschwanden,1190000.0,166.0,7168.67
000c44d2,2023-08-07,apartment,Le Sentier,374000.0,62.0,6032.26
002a329a,2022-04-17,house,Roches,884000.0,589.0,1500.85
00370535,2020-12-12,apartment,Hérémence,180000.0,143.0,1258.74
00546d40,2022-05-23,apartment,Troistorrents,428000.0,97.0,4412.37
005ab9e3,2021-02-09,house,Morens,895000.0,174.0,5143.68
0064e0f8,2020-05-21,house,Muttenz,1730000.0,209.0,8277.51
00842931,2020-03-08,apartment,Ruschein,560000.0,107.0,5233.64
0084aed6,2021-07-26,house,Vechigen,1235000.0,224.0,5513.39
00968b5c,2022-03-30,apartment,Genève,1990000.0,140.0,14214.29
009d661d,2021-09-25,apartment,Sementina,740000.0,104.0,7115.38
009f6638,2022-03-10,apartment,Müntschemier,924000.0,145.0,6372.41
00a15623,2022-11-03,apartment,Zunzgen,835000.0,126.0,6626.98
00b23c03,2020-12-01,apartment,Lupfig,690000.0,131.0,5267.18
00ba6685,2022-06-21,house,Roche,2900000.0,548.0,5291.97
00c44f97,2023-04-08,apartment,Seuzach,950000.0,94.0,10106.38
00cbfe1a,2020-06-10,house,Allschwil,1190000.0,222.0,5360.36
00d00339,2022-10-16,house,Sonvilier,670000.0,145.0,4620.69
00d468f4,2023-02-27,apartment,Crans-Montana,532500.0,73.0,7294.52
00df462c,2023-05-19,apartment,Sion,276000.0,53.0,5207.55
00df5248,2023-02-05,apartment,Lausanne,2190000.0,237.0,9240.51
00f07fb5,2023-01-27,apartment,Salgesch,660000.0,132.0,5000.0
01235505,2023-03-14,house,Morgins,730000.0,100.0,7300.0
0138ebbf,2022-12-16,house,Pieterlen,522000.0,125.0,4176.0
01422f99,2022-08-27,house,Mühlethurnen,645000.0,124.0,5201.61
01589514,2023-04-08,apartment,La Chaux-de-Fonds,350000.0,120.0,2916.67
017553af,2022-05-05,apartment,Corin-de-la-Crête,695000.0,147.0,4727.89
017f4496,2022-09-18,apartment,Rive Haute,400000.0,74.0,5405.41
01a20050,2022-06-13,apartment,Aarwangen,650000.0,139.0,4676.26
01a5ec5f,2023-06-18,apartment,Ardon,730000.0,141.0,5177.3
01ab8422,2020-11-17,house,Ammerzwil,850000.0,150.0,5666.67
01b538b5,2021-02-08,apartment,Muttenz,1240000.0,122.0,10163.93
01d0b1b1,2021-11-13,apartment,Bâle,890000.0,143.0,6223.78
01e11862,2021-02-10,house,Choëx,1060000.0,189.0,5608.47
01eb111c,2021-07-17,apartment,Castagnola,2500000.0,230.0,10869.57
020ea7fb,2023-05-23,house,Muraz,769000.0,120.0,6408.33
0216986e,2022-12-19,apartment,Daillens,750000.0,110.0,6818.18
0216c8b8,2022-07-18,apartment,Tuggen,1130000.0,143.0,7902.1
021a93fa,2021-05-29,house,Mendrisio,680000.0,203.0,3349.75
022afcd9,2020-06-14,house,Arosio,695000.0,110.0,6318.18
022d2421,2023-06-17,apartment,Gletterens,370000.0,55.0,6727.27
023841ce,2022-07-03,apartment,Abtwil AG,1250000.0,149.0,8389.26
024aa555,2022-11-19,apartment,Brüttisellen,735000.0,75.0,9800.0
026f2534,2022-09-16,apartment,Givisiez,645000.0,94.0,6861.7
0274a8c8,2022-10-28,house,Brione sopra Minusio,1600000.0,164.0,9756.1
028490f7,2022-05-02,apartment,Martigny,350000.0,63.0,5555.56
02983c88,2022-02-13,apartment,Sugnens,495000.0,65.0,7615.38
02a4ceed,2023-01-16,apartment,Les Crosets,395000.0,51.0,7745.1
02afeb13,2021-01-25,apartment,Bronschhofen,340000.0,54.0,6296.3
02b12d88,2020-11-30,apartment,St. Moritz,1350000.0,102.0,13235.29
02d2b366,2021-05-24,house,Darnona,1290000.0,167.0,7724.55
02d85f55,2022-03-09,apartment,Leukerbad,398000.0,100.0,3980.0
02ed6e23,2023-05-27,house,Le Lessy,2200000.0,300.0,7333.33
0307daa6,2022-10-03,house,Chamoson,1195000.0,250.0,4780.0
0311ee92,2022-04-06,house,Curio,875000.0,120.0,7291.67
03486fbb,2021-08-05,apartment,Rodersdorf,569000.0,78.0,7294.87
0353b811,2023-01-03,apartment,Golaten,590000.0,116.0,5086.21
035e3882,2021-08-28,apartment,Feutersoey,430000.0,55.0,7818.18
037af3d3,2020-12-13,house,Reinach,990000.0,124.0,7983.87
038a5d44,2022-06-09,apartment,Malvaglia,550000.0,130.0,4230.77
